workout_id,max_bpm,avg_bpm,resting_bpm,session_duration_hours,calories_burned,workout_type,cal_balance
147,192.04,155.64,56.06,1.46,1925.59,Hiit,200.41000000000008
148,162.35,166.55,62.94,0.93,921.54,Strength,778.46
149,171.94,131.47,59.19,1.23,811.06,Yoga,446.94000000000005
150,190.29,129.24,55.05,1.36,896.78,Yoga,365.22
151,168.08,142.9,60.98,1.87,1457.48,Yoga,277.52
152,193.06,144.39,50.03,1.45,1044.0,Yoga,394.0
153,198.0,155.8,55.93,1.5,1983.3,Hiit,722.7
154,185.93,152.89,65.16,1.05,1007.16,Cardio,1136.84
155,195.96,139.98,60.78,1.88,1467.53,Yoga,267.47
156,178.78,137.0,67.91,1.13,811.57,Yoga,1475.4299999999998
157,190.69,123.29,52.1,1.8,2570.04,Hiit,-953.04
158,199.08,147.73,63.97,0.75,741.15,Strength,1875.85
159,161.86,156.53,60.02,1.32,870.41,Yoga,561.59
160,192.92,166.93,62.04,1.06,1144.8,Strength,2308.2
161,182.1,165.05,58.15,1.19,1175.96,Strength,3.039999999999964
162,194.12,153.28,71.1,1.07,1413.58,Hiit,288.4200000000001
163,197.08,132.99,52.97,1.42,1532.32,Strength,532.6800000000001
164,193.81,143.69,56.07,1.22,1075.55,Cardio,192.45000000000005
165,192.17,133.24,50.11,0.89,587.4,Yoga,2112.6
166,176.08,144.92,60.21,2.0,2851.2,Hiit,-311.1999999999998
167,196.97,158.01,56.07,1.5,1317.6,Cardio,820.4000000000001
168,166.11,129.93,61.91,1.41,1016.89,Yoga,1134.11
169,165.88,163.22,64.05,1.32,1268.26,Cardio,31.74000000000001
170,166.85,128.54,58.93,1.87,2669.99,Hiit,-504.9899999999998
171,186.99,130.03,67.03,0.93,817.66,Cardio,1718.34
172,191.76,121.48,52.01,1.22,879.13,Yoga,1267.87
173,165.11,135.71,57.95,1.35,1456.78,Strength,232.22000000000003
174,163.79,129.08,58.0,1.88,1465.27,Yoga,967.73
175,198.13,121.48,66.95,1.71,1779.77,Cardio,634.23
176,166.99,122.14,52.26,1.83,1427.4,Yoga,255.5999999999999
177,169.22,142.49,64.93,1.15,1243.04,Strength,364.96
178,190.0,136.18,66.07,1.7,1985.94,Strength,416.06
179,179.89,128.08,56.93,1.36,1793.7,Hiit,168.29999999999995
180,171.81,132.59,69.19,1.21,1161.6,Cardio,383.4000000000001
181,184.96,169.39,62.89,1.4,1386.0,Strength,1610.0
182,177.02,138.02,50.06,0.88,1065.77,Hiit,1476.23
183,171.71,119.26,51.96,1.3,1716.0,Hiit,-129.0
184,181.11,131.63,49.99,1.31,1298.08,Strength,1378.92
185,176.86,123.28,71.98,1.52,1579.58,Cardio,778.4200000000001
186,195.18,127.09,63.22,1.45,1436.8,Strength,923.2
187,194.68,130.93,60.18,1.47,1292.42,Cardio,14.579999999999927
188,191.05,167.32,56.67,1.03,1018.77,Strength,1849.23
189,194.87,127.31,63.1,1.45,1754.5,Hiit,574.5
190,195.85,122.12,57.93,0.57,689.07,Hiit,365.93
191,185.98,165.71,49.7,0.94,1137.4,Hiit,787.5999999999999
192,181.98,138.64,54.73,1.35,1777.54,Hiit,543.46
193,169.11,166.09,60.95,1.83,2144.39,Strength,-365.3899999999999
194,185.72,138.49,71.33,1.02,733.79,Yoga,173.21000000000004
195,198.76,154.91,74.08,1.47,1293.6,Cardio,-11.599999999999907
196,179.23,148.8,57.88,1.14,820.8,Yoga,901.2
197,180.17,130.61,61.04,1.15,826.62,Yoga,763.38
198,184.81,169.21,62.7,1.4,1234.24,Cardio,1607.76
199,178.26,127.23,68.9,1.0,957.6,Cardio,1973.4
200,198.81,154.9,73.94,1.46,961.85,Yoga,299.15
201,167.5,165.05,53.67,1.44,1425.6,Strength,505.4000000000001
202,168.99,140.32,63.95,1.2,864.0,Yoga,1183.0
203,172.78,159.71,71.18,1.02,1348.64,Hiit,27.3599999999999
204,189.8,132.13,59.79,1.14,753.08,Yoga,920.92
205,192.87,128.08,56.21,1.94,2774.2,Hiit,-1110.1999999999998
206,198.35,153.41,56.91,1.78,2082.6,Strength,-554.5999999999999
207,169.9,132.22,66.58,0.85,1026.63,Hiit,340.3699999999999
208,186.95,142.11,67.96,0.77,507.28,Yoga,1213.72
209,173.14,130.3,67.03,0.87,573.68,Yoga,1370.3200000000002
210,192.31,155.03,68.93,1.03,679.18,Yoga,1271.8200000000002
211,177.01,124.8,71.78,0.91,799.34,Cardio,1233.66
212,181.71,156.79,64.02,0.54,652.81,Hiit,2205.19
213,165.2,147.23,62.09,1.16,1253.84,Strength,324.1600000000001
214,171.99,168.31,66.77,1.12,1073.41,Cardio,582.5899999999999
215,173.32,130.67,63.14,1.15,1516.74,Hiit,-283.74
216,183.29,128.02,71.1,1.66,1293.8,Yoga,1056.2
217,178.86,160.02,59.89,1.24,892.06,Yoga,2375.94
218,194.79,127.19,53.96,0.95,837.52,Cardio,842.48
219,178.17,138.12,69.93,0.62,545.1,Cardio,1094.9
220,189.67,131.19,61.39,1.95,2797.08,Hiit,-934.08
221,168.19,141.9,55.99,1.54,1200.28,Yoga,1300.72
222,165.81,156.46,65.88,0.59,518.26,Cardio,1240.74
223,185.73,142.89,65.78,1.87,1943.3,Cardio,701.7
224,168.22,159.02,65.03,1.45,1914.0,Hiit,367.0
225,161.8,144.97,69.94,1.81,1880.95,Cardio,346.04999999999995
226,183.39,128.01,70.67,1.67,1301.6,Yoga,1229.4
227,173.08,127.46,62.9,1.0,960.0,Cardio,703.0
228,192.11,121.01,49.91,1.48,1598.4,Strength,617.5999999999999
229,199.23,145.97,55.83,1.13,1490.36,Hiit,170.6400000000001
230,188.11,137.31,61.06,1.7,1766.64,Cardio,24.3599999999999
231,186.17,128.0,63.14,0.58,573.16,Strength,1249.84
232,171.63,148.55,68.07,0.73,481.8,Yoga,1538.2
233,172.15,132.31,61.92,1.0,961.6,Cardio,1170.4
234,199.09,132.36,60.22,1.25,903.0,Yoga,793.0
235,160.84,134.09,63.08,1.44,1557.79,Strength,1339.21
236,191.2,125.42,71.98,1.39,1499.95,Strength,-34.950000000000045
237,197.87,164.88,52.92,1.4,1386.0,Strength,758.0
238,180.39,163.54,67.16,1.03,741.6,Yoga,1333.4
239,177.98,136.52,58.92,1.12,1206.58,Strength,515.4200000000001
240,198.19,120.04,72.92,1.36,898.42,Yoga,1759.58
241,161.11,139.85,63.2,1.05,1134.0,Strength,970.0
242,164.25,168.96,63.71,0.58,574.2,Strength,940.8
243,165.7,130.76,67.8,1.92,1499.9,Yoga,291.0999999999999
244,164.11,151.95,67.04,0.78,685.78,Cardio,888.22
245,199.21,129.7,52.96,0.74,734.6,Strength,1199.4
246,187.56,154.92,60.09,0.68,672.59,Strength,2765.41
247,196.16,140.51,60.78,1.89,2214.7,Strength,-579.6999999999998
248,182.56,128.34,63.98,1.07,1152.71,Strength,442.29
249,176.87,148.29,61.17,1.07,1412.4,Hiit,441.5999999999999
250,165.62,162.77,59.07,1.39,998.3,Yoga,1155.7
251,180.05,138.62,64.86,0.76,666.98,Cardio,1106.02
252,174.65,127.27,67.98,0.87,1050.79,Hiit,919.21
253,184.23,160.96,58.98,1.41,1524.07,Strength,312.93000000000006
254,188.18,144.57,51.98,1.35,972.0,Yoga,550.0
255,189.97,144.1,70.87,1.98,1543.21,Yoga,815.79
256,169.33,157.33,70.98,1.39,999.13,Yoga,1744.87
257,193.94,119.29,53.13,1.73,2024.1,Strength,-323.0999999999999
258,173.72,141.81,60.96,1.2,1190.16,Strength,639.8399999999999
259,170.57,154.38,67.14,1.08,1306.8,Hiit,15.200000000000044
260,188.38,149.74,67.18,1.81,2119.33,Strength,-353.3299999999999
261,189.52,150.2,67.13,1.81,1409.63,Yoga,236.3699999999999
262,187.04,135.97,57.81,1.08,714.1,Yoga,1417.9
263,187.86,157.25,59.91,1.38,1364.96,Strength,1197.04
264,173.92,145.28,61.92,1.75,1363.95,Yoga,573.05
265,196.35,140.27,61.87,1.83,1903.2,Cardio,-204.20000000000005
266,189.08,147.66,73.06,1.32,870.41,Yoga,1567.59
267,177.6,146.82,64.16,1.48,1419.62,Cardio,69.38000000000011
268,193.8,125.95,73.07,1.02,1231.96,Hiit,198.04
269,182.86,156.3,66.69,1.81,1882.4,Cardio,656.5999999999999
270,198.01,156.66,59.92,0.78,686.4,Cardio,2569.6
271,164.76,148.73,50.08,1.88,1955.2,Cardio,-225.20000000000005
272,197.99,121.61,71.91,1.19,1572.11,Hiit,80.8900000000001
273,179.28,136.05,69.12,1.19,1441.21,Hiit,1208.79
274,162.91,167.89,66.89,0.76,667.58,Cardio,2491.42
275,175.27,124.06,54.93,0.91,801.53,Cardio,845.47
276,177.57,124.57,61.13,0.8,528.48,Yoga,1483.52
277,162.83,168.02,51.16,1.39,999.97,Yoga,1494.03
278,175.29,169.11,64.97,1.45,1914.0,Hiit,-340.0
279,188.0,124.9,61.97,1.47,1056.64,Yoga,1710.36
280,170.91,167.48,62.22,1.09,786.11,Yoga,1233.89
281,166.07,144.44,67.92,1.62,1899.77,Strength,-175.76999999999998
282,199.3,129.16,60.83,0.72,475.2,Yoga,1190.8
283,189.24,123.53,52.06,0.89,781.06,Cardio,583.94
284,167.08,134.74,68.94,1.1,1188.99,Strength,405.01
285,173.81,152.89,50.0,1.09,786.11,Yoga,1202.89
286,194.76,131.74,54.24,1.49,1072.8,Yoga,2287.2
287,195.71,149.34,56.4,0.96,1161.6,Hiit,945.4
288,160.72,161.85,61.07,1.41,1351.34,Cardio,375.6600000000001
289,192.72,135.86,72.87,1.02,979.2,Cardio,1730.8
290,177.22,125.31,61.02,0.8,968.88,Hiit,947.12
291,198.89,129.96,53.08,0.74,487.51,Yoga,1652.49
292,170.09,124.34,73.69,0.54,653.4,Hiit,1068.6
293,193.95,143.96,56.07,1.22,1474.86,Hiit,-118.8599999999999
294,166.33,151.89,68.36,1.65,1716.0,Cardio,-28.0
295,177.71,153.38,70.31,1.71,1334.83,Yoga,1212.17
296,187.97,165.16,65.15,1.39,1502.45,Strength,392.55
297,193.28,135.92,73.03,1.0,1321.1,Hiit,1187.9
298,196.39,167.13,52.91,0.72,633.02,Cardio,2684.98
299,159.69,129.39,65.95,1.01,887.18,Cardio,2584.82
300,193.58,150.39,65.21,1.33,1752.67,Hiit,-78.67000000000007
301,178.08,138.18,70.16,0.61,535.82,Cardio,1094.1799999999998
302,169.68,158.84,63.14,1.93,2008.74,Cardio,339.26
303,193.78,120.66,53.0,1.72,2455.82,Hiit,-712.8200000000002
304,191.98,138.79,68.03,0.73,885.71,Hiit,957.29
305,189.26,139.9,64.03,1.01,726.59,Yoga,1829.41
306,188.98,141.96,51.99,1.45,1752.9,Hiit,-50.90000000000009
307,197.15,147.32,70.23,1.9,2226.42,Strength,36.57999999999993
308,174.44,146.29,71.86,0.82,722.26,Cardio,1519.74
309,180.94,130.23,54.07,1.49,1607.86,Strength,519.1400000000001
310,194.01,138.7,62.19,1.78,2081.0,Strength,-234.0
311,174.14,136.43,63.15,0.61,738.1,Hiit,804.9
312,193.72,134.12,59.83,1.93,2755.65,Hiit,-887.6500000000001
313,171.9,142.83,55.86,1.04,1365.94,Hiit,1857.06
314,165.38,167.13,66.2,1.37,1483.3,Strength,-36.29999999999996
315,186.06,125.94,60.01,1.85,1924.0,Cardio,641.0
316,185.25,161.93,55.82,0.71,469.03,Yoga,1783.97
317,160.74,123.83,49.8,1.8,1869.12,Cardio,-191.1199999999999
318,189.75,136.41,51.73,1.26,1661.81,Hiit,516.19
319,184.85,130.07,64.91,1.71,1775.66,Cardio,629.3399999999999
320,160.35,163.22,67.93,1.03,1113.33,Strength,258.6700000000001
321,188.17,135.92,67.89,0.52,457.18,Cardio,1524.82
322,180.29,138.6,64.85,0.75,660.0,Cardio,1243.0
323,180.42,126.12,49.99,1.84,1913.6,Cardio,-223.5999999999999
324,194.16,127.18,51.04,0.71,469.03,Yoga,1699.97
325,192.01,149.01,73.98,1.06,932.8,Cardio,605.2
326,182.95,128.05,64.06,1.09,1046.4,Cardio,654.5999999999999
327,192.86,141.34,68.23,0.83,731.06,Cardio,2201.94
328,174.11,153.05,49.88,1.12,1073.41,Cardio,801.5899999999999
329,173.15,137.91,70.93,0.55,484.0,Cardio,986.0
330,184.79,161.34,54.06,1.62,1895.4,Strength,-61.40000000000009
331,198.14,145.82,63.0,1.34,1770.27,Hiit,-440.27
332,167.09,167.01,53.86,1.06,1018.45,Cardio,959.55
333,167.84,159.14,66.85,1.25,1197.0,Cardio,104.0
334,199.05,146.24,55.91,1.15,828.0,Yoga,1066.0
335,191.08,122.67,60.81,0.67,663.3,Strength,929.7
336,188.02,152.14,64.94,1.57,1839.73,Strength,304.27
337,198.87,148.1,62.19,1.17,841.7,Yoga,990.3
338,172.19,122.77,72.01,1.48,975.91,Yoga,762.09
339,193.34,133.2,58.85,1.06,1050.35,Strength,1962.65
340,187.91,158.24,67.93,0.64,772.99,Hiit,437.01
341,182.97,159.08,73.27,1.9,2717.0,Hiit,-341.0
342,173.11,134.32,53.19,0.74,893.77,Hiit,203.23
343,188.7,127.09,60.04,1.23,887.81,Yoga,1169.19
344,193.18,168.11,69.01,1.6,2289.76,Hiit,-604.7600000000002
345,189.11,146.81,73.13,1.33,1606.37,Hiit,1089.63
346,166.2,156.83,66.0,0.59,389.75,Yoga,1177.25
347,172.92,126.15,61.24,1.42,1874.4,Hiit,-125.40000000000008
348,195.17,156.41,58.91,1.02,734.4,Yoga,502.6
349,176.85,122.8,72.23,1.08,1167.37,Strength,363.6300000000001
350,183.53,137.14,71.09,1.01,1088.98,Strength,769.02
351,188.93,141.94,52.12,1.45,958.74,Yoga,785.26
352,171.89,160.67,60.22,1.2,1188.0,Strength,348.0
353,197.93,147.06,50.85,0.56,369.26,Yoga,1668.74
354,184.04,161.18,58.98,1.43,1890.75,Hiit,-189.75
355,184.99,120.0,69.92,1.35,1779.03,Hiit,130.97000000000003
356,197.9,167.34,65.86,1.52,1182.86,Yoga,933.14
357,159.79,121.8,49.8,1.09,1321.3,Hiit,1608.7
358,173.78,146.12,71.71,0.81,534.6,Yoga,1585.4
359,178.03,167.91,58.98,1.07,769.76,Yoga,2271.24
360,164.28,135.04,57.98,1.01,1337.64,Hiit,1838.36
361,195.78,128.55,66.12,1.41,1521.53,Strength,264.47
362,174.48,145.06,61.81,1.75,2050.65,Strength,-104.65000000000008
363,191.31,123.06,61.06,0.69,607.75,Cardio,867.25
364,190.92,157.21,52.03,0.81,712.8,Cardio,1195.2
365,192.2,133.03,59.1,0.66,435.6,Yoga,1305.4
366,184.13,141.23,51.94,1.02,1101.6,Strength,1105.4
367,166.02,162.79,59.02,1.39,1498.7,Strength,782.3
368,168.86,125.21,58.0,1.39,1377.35,Strength,1649.65
369,167.14,160.18,73.01,0.8,967.12,Hiit,1346.88
370,197.25,141.91,72.14,1.11,977.69,Cardio,942.31
371,171.38,155.17,54.95,1.19,1573.42,Hiit,-246.42000000000007
372,182.92,134.75,72.69,1.2,1294.92,Strength,318.0799999999999
373,184.13,160.19,64.12,0.5,330.0,Yoga,1259.0
374,169.77,155.94,50.16,1.02,979.2,Cardio,2113.8
375,179.8,126.78,53.01,0.73,481.8,Yoga,1555.2
376,164.99,149.48,49.85,1.86,1449.68,Yoga,274.31999999999994
377,164.02,149.23,57.18,1.34,1625.82,Hiit,339.18000000000006
378,195.13,130.74,55.0,1.43,1544.4,Strength,511.5999999999999
379,186.11,156.76,64.18,1.28,844.8,Yoga,1718.2
380,181.88,138.06,68.08,1.73,2022.54,Strength,627.46
381,194.07,142.55,65.93,1.31,940.84,Yoga,847.16
382,161.98,133.73,66.25,1.19,1283.06,Strength,1645.94
383,183.34,149.79,67.06,1.84,2631.2,Hiit,-353.1999999999998
384,189.88,131.44,60.08,1.13,993.5,Cardio,469.5
385,193.92,136.34,54.98,1.81,1411.8,Yoga,834.2
386,171.02,147.25,56.92,1.41,1393.36,Strength,-185.3599999999999
387,184.32,122.57,64.97,1.13,992.59,Cardio,2029.41
388,166.03,157.62,65.93,0.59,388.69,Yoga,1167.31
389,188.07,135.99,67.95,0.5,605.0,Hiit,1307.0
390,164.09,150.12,61.79,1.29,926.48,Yoga,856.52
391,179.17,144.76,65.13,1.26,1525.99,Hiit,-155.99
392,197.77,154.82,58.96,1.2,1584.0,Hiit,1108.0
393,185.72,128.38,62.89,0.58,701.16,Hiit,1270.84
394,191.32,144.99,66.03,1.15,827.31,Yoga,1383.69
395,196.07,157.8,64.9,1.08,711.5,Yoga,1164.5
396,183.75,127.66,53.07,1.13,745.8,Yoga,772.2
397,192.04,133.15,59.33,0.65,570.96,Cardio,1095.04
398,184.25,126.53,49.94,1.38,1818.56,Hiit,130.44000000000003
399,198.88,159.87,68.01,1.26,1211.62,Cardio,630.3800000000001
400,169.4,119.77,72.09,1.4,1510.74,Strength,-301.74
401,178.11,129.14,62.3,1.1,1188.0,Strength,667.0
402,184.94,162.84,74.24,1.27,1259.59,Strength,276.4100000000001
403,196.29,130.02,65.83,0.69,683.1,Strength,1345.9
404,166.03,158.87,65.17,1.29,1236.34,Cardio,-66.33999999999992
405,181.94,157.06,52.01,0.57,564.3,Strength,752.7
406,186.94,139.42,55.75,1.72,1340.57,Yoga,232.4300000000001
407,170.09,165.88,52.07,1.75,1822.8,Cardio,408.2000000000001
408,195.03,131.15,59.84,1.49,1313.58,Cardio,-50.57999999999993
409,197.39,167.42,49.91,1.66,1298.78,Yoga,1225.22
410,163.94,149.38,56.75,1.34,1324.19,Strength,386.81
411,185.76,128.1,57.99,1.91,2731.3,Hiit,-366.3000000000002
412,187.28,161.09,69.93,1.17,771.5,Yoga,1072.5
413,170.22,150.42,62.09,1.31,1585.1,Hiit,-130.0999999999999
414,183.76,165.82,54.55,1.04,1371.66,Hiit,1622.34
415,165.84,163.13,58.92,1.4,1514.52,Strength,667.48
416,188.2,135.06,71.1,1.19,1141.45,Cardio,2029.55
417,199.06,129.07,61.24,0.7,691.11,Strength,1424.89
