user_id,age,gender,weight_kg,height_m,bmi,fat_percentage,lean_mass_kg
74,18,Female,62,1.59,24.69,26.635811730396675,45.80126273671336
75,43,Female,42,1.66,15.3,21.13820340651529,33.24813344381315
76,30,Male,87,1.69,30.54,29.381819818670085,61.59317675415595
77,36,Male,76,1.82,22.99,26.70870756569342,55.81131918872447
78,18,Female,127,1.92,34.7,32.137482441866815,86.80973246036397
79,24,Male,58,1.76,18.99,23.042199944788766,45.26657799247525
80,41,Female,82,1.66,29.82,30.284776579530742,57.28499908459958
81,42,Female,60,1.74,19.92,20.866060956213715,47.71776524340313
82,28,Male,79,1.59,31.45,32.375722484306486,53.76806305272791
83,53,Female,55,1.55,23.18,23.802880356141856,42.42655621770022
84,43,Male,66,1.85,19.47,20.625549461389365,52.8792589488224
85,26,Male,103,1.68,36.81,34.33074085871076,68.23036024779952
86,43,Male,82,1.95,21.7,26.181430169818924,60.90770196688241
87,40,Female,62,1.53,26.91,28.83336054527089,44.82786619253388
88,41,Male,43,1.77,13.9,18.550935162257385,35.479212643320686
89,19,Male,73,1.79,22.84,21.10685278795888,57.7340051297717
90,30,Male,51,1.74,17.1,24.925648637912527,38.873499135288895
91,51,Female,70,1.72,23.97,27.330750246929725,51.52976499990213
92,32,Female,62,1.63,23.41,25.792049793569173,46.164765823420616
93,21,Female,51,1.59,20.27,24.917111505699467,38.47998035332903
94,45,Female,51,1.65,18.87,23.58927482645203,39.25983059416895
95,34,Male,66,1.62,25.29,26.57930595192323,48.72931463970855
96,58,Male,109,1.91,29.9,27.77303969159638,78.77794560837583
97,45,Male,48,1.64,18.03,26.83565657002728,35.48470656353677
98,25,Female,64,1.71,22.02,21.370673578146025,50.63728621567396
99,37,Female,54,1.57,22.16,27.02522771544833,39.86611809905058
100,54,Female,50,1.61,19.41,24.75825434838593,37.8616464118922
101,36,Male,69,1.65,25.37,26.6521134151114,50.65405047552407
102,18,Male,73,1.55,30.54,32.0880694353723,49.8337746483238
103,47,Male,68,1.74,22.71,21.510634310436764,53.97713678471264
104,37,Male,102,1.89,28.79,30.99245737603172,70.967356834489
105,32,Female,49,1.62,18.79,19.86285138369088,39.51562798270203
106,30,Male,61,1.55,25.49,27.795914840801764,44.22500216000891
107,24,Male,60,1.79,18.79,19.74443286702576,48.32187697076379
108,55,Female,58,1.56,24.21,24.30438665383292,44.59228582222703
109,27,Female,86,1.76,27.97,32.37718066224315,58.59517295616631
110,25,Male,76,1.96,19.9,24.04088273843092,58.07834105819571
111,41,Male,76,1.97,19.73,25.522052180732533,57.02776464521309
112,34,Female,111,1.85,32.7,33.8338844815787,74.04649987666527
113,18,Female,126,1.67,45.42,35.0,82.329
114,31,Male,126,1.83,37.76,35.0,82.186
115,40,Female,70,1.55,29.16,30.96431118443072,48.359500015306274
116,42,Female,55,1.73,18.56,22.03459272374685,43.31758028268624
117,56,Female,81,1.86,23.56,24.35505975682122,61.65819079221503
118,38,Male,70,1.52,30.62,27.66516721843347,51.16966070968016
119,55,Female,88,1.68,31.43,33.54846201915898,58.95580449660216
120,46,Female,40,1.76,13.05,16.372166889573982,33.79400735992315
121,25,Male,104,1.88,29.7,28.96784777827399,74.56955340236797
122,45,Male,89,1.81,27.38,24.79921393602853,67.45510509938241
123,18,Female,85,1.85,24.9,27.50205103691949,61.775502311440896
124,52,Male,82,1.72,27.77,26.239898015868665,60.5939237799639
125,20,Female,76,1.62,29.12,29.395578278704896,53.96295952158586
126,35,Male,43,1.62,16.72,18.700011995703427,35.68256473508577
127,30,Female,77,1.78,24.54,26.25514926206454,57.34399593381862
128,55,Male,62,1.86,18.13,20.48472401946511,49.87198109499148
129,32,Female,46,1.9,12.78,15.571617568572533,38.96369849210378
130,22,Male,59,1.78,18.63,22.006132703441487,46.04757925188815
131,32,Male,84,1.74,27.85,28.45389592185136,60.33482956910275
132,29,Female,121,2.0,30.31,25.89281483291118,89.84014057806178
133,33,Male,64,1.63,24.27,22.674511856849705,49.86720730351762
134,32,Male,74,1.76,23.93,24.36805630843466,56.065959858557385
135,53,Male,46,1.5,20.5,24.245785745448824,34.94541903562446
136,46,Male,59,1.65,21.94,23.46457319606598,45.71461042998978
137,38,Male,59,1.83,17.72,18.17478963836032,48.54689730756082
138,18,Male,48,1.52,21.13,24.23699391402382,36.98749957117357
139,36,Male,59,1.78,18.81,22.919448604808995,45.932300576394326
140,55,Male,70,1.62,26.88,28.878120036343265,50.169374126363465
141,55,Male,86,1.77,27.67,26.43717196851418,63.771615620495055
142,58,Female,51,1.79,16.13,19.123150543213058,41.80524348421317
143,51,Male,48,1.77,15.58,16.307540650728594,40.850289408379375
144,22,Male,61,1.52,26.73,23.711457786959848,47.1158036707736
145,49,Female,55,1.6,21.63,21.591266031899025,43.42275687153432
146,56,Male,122,1.88,34.54,35.0,79.3455
147,23,Female,79,1.73,26.5,27.99586288268801,57.10648114774015
148,38,Male,61,1.66,22.31,21.1641633369954,48.47615596408153
149,59,Female,41,1.65,15.11,19.5595514518067,33.093200532726726
150,50,Female,49,1.61,19.22,21.15121911307765,39.28246263786472
151,39,Female,57,1.71,19.62,20.46908792402956,45.61893116677664
152,32,Male,46,1.89,12.9,16.391027432006762,38.535375456588085
153,57,Male,108,1.91,29.84,28.64542291177429,77.66945716053368
154,57,Male,75,1.67,27.19,25.35652470365937,56.60961166474474
155,50,Female,56,1.6,21.9,27.76520521079724,40.50204943830599
156,39,Female,76,1.92,20.87,24.905416833904976,57.77777228799352
157,23,Male,60,1.59,23.97,26.55356371904741,44.51588502988536
158,47,Male,97,1.9,27.04,28.45905960557885,69.82395782495503
159,49,Male,51,1.69,17.87,22.160844204374545,39.73688903366679
160,48,Male,128,1.61,49.52,35.0,83.4405
161,40,Female,44,1.77,14.08,15.062744977667531,37.45732946484862
162,45,Female,52,1.88,14.81,14.04663679462639,45.00518097433362
163,19,Male,76,1.77,24.27,26.302497501164986,56.04695065036403
164,35,Female,47,1.68,16.92,20.16362568976236,38.12186873313848
165,38,Female,101,1.94,27.1,27.19967077493434,74.24905577664445
166,31,Female,86,1.6,33.69,35.0,56.056
167,22,Female,70,1.77,22.53,24.417063017665548,53.33887862843341
168,30,Female,77,1.77,24.65,24.2018822785929,58.5388863162427
169,42,Female,45,1.6,17.61,23.57879259529199,34.45832241878285
170,41,Female,81,1.87,23.25,24.425590375940928,61.45710990628483
171,52,Male,105,1.99,26.52,27.872821484426847,75.74796287705492
172,36,Female,73,1.76,23.72,27.512982951891463,53.24896272354053
173,38,Male,58,1.93,15.84,16.444944404035745,49.28912729605931
174,22,Female,86,1.91,23.81,25.229482337918057,64.93819458951816
175,21,Male,89,1.6,34.87,34.950296270123324,58.0698705196609
176,42,Male,57,1.57,23.32,25.15392984369169,43.021521125846014
177,44,Female,59,1.51,25.89,28.224476533187666,42.376269054806
178,51,Female,86,1.8,26.54,29.21606896689808,60.87418068846765
179,36,Female,76,1.77,24.4,25.57677499387323,56.8891131946833
180,31,Male,53,1.76,17.14,21.673249961479044,41.57583892044692
181,45,Male,108,1.64,40.39,35.0,70.60300000000001
182,52,Female,94,1.95,24.73,27.694372700593,67.99621191236234
183,29,Female,60,1.55,25.08,25.492548579175125,44.89819022618907
184,20,Female,100,1.84,29.65,32.0444410915968,68.21379003225512
185,28,Female,87,1.86,25.27,27.503049695718595,63.36958426097237
186,31,Female,84,1.74,27.85,30.83901313512696,58.30962802577447
187,30,Female,48,1.51,21.38,25.24861104494097,36.43382697669578
188,26,Female,110,1.9,30.68,33.153322729012665,74.02601040989138
189,31,Female,84,1.74,27.82,28.970297857336003,59.821215144551616
190,23,Male,44,1.62,16.84,21.87566778349083,34.5231424064754
191,49,Female,70,1.67,25.21,24.32365811741768,53.20046834345537
192,28,Male,85,1.79,26.56,27.772721291058048,61.47263690918049
193,21,Female,61,1.52,26.65,26.103971435941105,45.505174389747474
194,25,Male,40,1.67,14.68,17.719549964688245,33.68561624445663
195,50,Male,48,1.77,15.5,15.487096150913986,41.03946610911617
196,22,Male,57,1.71,19.66,19.465692660719107,46.29111985861866
197,49,Male,60,1.87,17.44,23.131251290830225,46.86687608798081
198,46,Male,109,1.64,40.53,35.0,70.85650000000001
199,23,Male,116,1.79,36.45,35.0,75.91350000000001
200,51,Male,48,1.77,15.57,17.493005125489216,40.24691209978637
201,32,Male,67,1.92,18.43,21.81795731119933,53.1090615985023
202,18,Female,72,1.75,23.61,26.521335789744164,53.12507422401497
203,43,Female,54,1.72,18.4,23.161699668619423,41.81540304033731
204,34,Female,53,1.52,23.2,29.764439562461096,37.64626039452085
205,28,Female,55,1.5,24.83,26.6656669866255,40.964558421271
206,40,Male,56,1.78,17.88,21.919897070219648,44.232378309720566
207,51,Female,50,1.78,15.79,21.189398021809364,39.42106310949096
208,40,Female,66,1.69,23.41,24.98047151589916,50.15805674446982
209,39,Male,72,1.6,28.18,28.89200445177726,51.29730798848788
210,43,Female,69,1.75,22.65,29.18422975150993,49.12489982137756
211,25,Female,74,1.66,26.87,26.782571691431738,54.2175056624948
212,50,Male,109,1.78,34.54,35.0,71.136
213,45,Female,60,1.68,21.33,24.318119935022096,45.5529236111102
214,19,Female,55,1.6,21.48,26.646534667443163,40.34440593290626
215,41,Male,48,1.5,21.55,17.83528273948745,39.83345492789648
216,28,Male,86,1.65,31.61,34.43070922440004,56.43548857055888
217,29,Female,121,2.0,30.47,30.75578411667827,84.39485031859252
218,38,Male,61,1.64,22.74,23.124011311766985,47.01735468172331
219,19,Male,56,1.87,16.27,21.70953490008243,44.5472746418531
220,47,Female,62,1.54,26.21,31.053067819704,42.85741304327199
221,54,Female,83,1.86,24.21,27.53436243104433,60.70446459151417
222,31,Male,63,1.8,19.56,22.70125690224533,48.999673249666685
223,29,Female,87,1.93,23.55,26.96373033660896,64.07471937569296
224,46,Male,89,1.84,26.52,28.232971631065062,64.43961477246668
225,56,Female,80,1.86,23.4,26.71281667791624,59.325974899226814
226,28,Female,85,1.65,31.56,30.98802213969128,59.30199257536329
227,21,Female,57,1.72,19.37,19.48440390526357,46.1273850026745
228,37,Female,77,1.82,23.27,24.79724155351227,57.97380648639739
229,47,Male,66,1.75,21.83,23.43837005949752,51.17379345223186
230,20,Female,63,1.78,20.02,18.11568096013336,51.94741199889139
231,31,Female,64,1.62,24.73,27.06158881809129,47.34432269817695
232,46,Male,79,1.77,25.33,24.82599158869957,59.65809307520802
233,40,Male,78,1.72,26.53,27.62351736941911,56.80830121674294
234,24,Male,59,1.5,26.44,29.64615287567391,41.84646826954916
235,42,Male,113,1.83,33.81,31.842434787751493,77.16117957678652
236,57,Male,50,1.67,18.07,23.73894992232309,38.427943134141394
237,43,Female,77,1.79,24.14,28.64744368787273,55.198337563061656
238,52,Female,71,1.58,28.49,30.554524493751924,49.38267763249301
239,42,Female,65,1.83,19.68,21.152319420193567,51.96850627015042
240,23,Female,106,1.94,28.36,30.74903295062888,73.92540732520368
241,58,Female,75,1.78,23.92,24.987259485934977,56.85965730966129
242,59,Female,55,1.57,22.31,24.59493624931439,41.47278506287709
243,41,Male,62,1.64,23.1,21.63789549095381,48.67853932101949
244,54,Male,55,1.71,18.87,20.232240885098,44.02382625551441
245,37,Male,76,1.58,30.65,30.487610626951348,53.18392910931952
246,54,Male,129,1.73,43.38,35.0,84.383
247,49,Male,57,1.6,22.35,23.780084216425987,43.60541381978269
248,36,Female,55,1.95,14.72,15.611242298388463,47.2492654371323
249,41,Male,71,1.69,25.15,26.896851186465188,52.5026814778807
250,52,Male,79,1.59,31.52,30.37583006171512,55.48350102381922
251,53,Female,69,1.52,30.13,34.46061060689429,45.6285228954802
252,24,Male,72,1.76,23.39,25.48236732174039,53.98057311213126
253,18,Male,64,1.55,27.0,27.99183126131786,46.71169906078311
254,25,Male,57,1.58,23.1,23.256832440629296,44.25011041473314
255,59,Male,85,1.67,30.82,32.62717174146524,57.91368317103648
256,35,Male,90,1.65,33.13,32.81620436174729,60.59978366570395
257,58,Female,59,1.76,19.28,20.50905375600372,47.47994219153898
258,24,Female,62,1.64,23.15,25.69841214595207,46.26016859793024
259,20,Female,50,1.53,21.55,26.28065807789384,37.18403606551035
260,31,Female,61,1.76,19.72,21.467697287671395,47.983236957232776
261,30,Female,60,1.76,19.47,22.058372377387503,47.0065956191976
262,32,Female,78,1.71,26.68,25.47642819999477,58.135838361184085
263,40,Female,93,1.93,25.07,28.004124259801127,67.24414794134576
264,34,Female,64,1.62,24.62,27.428030744398846,46.88149213911834
265,46,Female,58,1.53,24.93,25.062672896754584,43.74091783016434
266,36,Male,100,1.99,25.29,27.62668989433338,72.48187007082511
267,46,Female,49,1.69,17.44,21.467977679349115,39.11680031791621
268,33,Female,53,1.52,23.04,29.071118287021008,37.75544373581872
269,48,Male,87,1.76,28.17,28.179046222666305,62.67814636147912
270,46,Female,127,1.65,47.0,35.0,83.1805
271,43,Female,61,1.58,24.65,25.54627199237792,45.81882421589064
272,28,Female,58,1.61,22.71,24.42753648304868,44.48195202607754
273,41,Male,94,2.0,23.55,26.344119815617727,69.37647354566965
274,55,Male,117,1.72,39.78,35.0,76.4985
275,32,Male,58,1.67,20.87,21.843888492371537,45.49467250859053
276,19,Male,73,1.79,22.83,22.33288704711336,56.80572641374129
277,55,Male,90,1.61,34.93,33.41867906231963,60.28938610906957
278,40,Female,55,1.55,22.96,27.94182069768826,39.75449752108538
279,49,Male,96,1.72,32.51,32.96468235151168,64.48127204608092
280,29,Male,68,1.72,23.25,23.492149107770583,52.614449058586175
281,21,Male,55,1.62,20.99,22.8261403981804,42.50736186868223
282,31,Female,70,1.98,17.98,24.441787049046404,53.26098430912719
283,44,Male,47,1.76,15.39,17.867922620470317,39.16057449455976
284,50,Male,54,1.53,23.27,25.06865657115728,40.82259590003351
285,18,Male,68,1.8,21.09,22.38317362803221,53.03557745996559
286,36,Male,122,1.93,32.78,35.0,79.378
287,26,Male,77,1.7,26.67,31.33602698378082,52.91932400360012
288,58,Female,65,1.52,28.24,27.862389643741523,47.069790757458655
289,41,Female,98,1.91,26.92,26.041888980638056,72.62686502101343
290,18,Male,73,1.79,22.92,27.964145620142165,52.90313145656759
291,38,Male,77,1.58,30.98,34.869316795571734,50.37858345862526
292,52,Male,61,1.64,22.86,27.03500822559418,44.85887694290469
293,36,Female,47,1.68,16.96,18.74507247138036,38.88860831519736
294,52,Male,58,1.56,23.9,24.85849555059085,43.70229898777636
295,45,Male,89,1.81,27.46,29.42943241401285,63.47822554359544
296,42,Male,69,1.87,19.8,22.79964789021262,53.44580376560581
297,42,Male,97,1.91,26.83,29.34973224355252,69.14541705323515
298,23,Male,121,1.85,35.46,35.0,78.884
299,55,Male,129,1.95,34.04,34.86722876097884,84.30134581466508
300,45,Male,57,1.72,19.37,18.008997333189793,46.97264542781557
301,19,Male,56,1.87,16.29,20.343181095863496,45.38845541157698
302,24,Female,81,1.61,31.47,29.670715469009,57.36759739192935
303,59,Male,60,1.76,19.47,19.266207099180903,48.68247711919392
304,44,Female,65,1.8,20.26,21.63837297882685,51.44440813940018
305,48,Female,94,1.7,32.78,33.89602972504432,62.62029104146551
306,56,Male,67,1.58,27.05,26.214501199339104,49.81996879020623
307,34,Male,87,1.64,32.7,30.744874579232587,60.90988280756495
308,53,Male,77,1.9,21.55,26.79735212488693,56.93701951726295
309,27,Female,79,1.59,31.29,31.17038849885767,54.44422269740358
310,53,Male,64,1.55,26.83,25.57969985259872,47.97132547501487
311,39,Male,57,1.56,23.82,24.49715555295945,43.76899892594941
312,26,Male,63,1.49,28.71,28.72668701127923,45.42960969901062
313,53,Male,117,1.62,44.89,35.0,76.583
314,22,Female,48,1.76,15.51,22.888373029903896,37.05213675913117
315,46,Female,88,1.6,34.69,34.46993618328025,58.19724967562881
316,22,Male,82,1.8,25.56,26.59534197037616,60.80107824593743
317,31,Male,57,1.56,23.56,23.63220668603824,43.78165590689428
318,30,Female,78,1.71,26.69,26.652468251006407,57.2477485300895
319,30,Male,86,1.69,30.36,32.71086060857963,58.33968385236147
320,47,Male,42,1.58,16.91,21.492502868320035,33.13801453928212
321,42,Male,73,1.63,27.55,26.01402420471341,54.15033568457025
322,54,Male,70,1.52,30.31,29.238725702917183,49.54704426281738
323,32,Male,56,1.53,24.24,25.285468521905933,42.400496613818376
324,49,Female,69,1.89,19.54,20.026987765700603,55.82915984076441
325,41,Male,55,1.53,23.89,24.80080163083129,42.05891164787606
326,36,Male,55,1.94,14.8,17.47736954009812,45.95685290311936
327,36,Female,109,1.62,41.73,35.0,71.1815
328,18,Male,68,1.8,21.11,24.045998177050848,51.944941846714926
329,20,Female,55,1.78,17.42,22.107564947570488,42.9810456619306
330,25,Male,59,1.51,26.14,26.917471331266384,43.55718708656524
331,51,Female,47,1.54,20.04,20.757821046704866,37.66380765650118
332,19,Female,71,1.58,28.71,29.40269838572698,50.59002633678804
333,45,Male,48,1.64,17.9,19.17190054703472,38.91064707665748
334,46,Female,66,1.74,22.08,24.14996468859432,50.71333360920584
335,28,Female,57,1.77,18.26,17.879010566824586,46.97320595577634
336,43,Female,81,1.78,25.58,25.231536738709632,60.59983947327584
337,19,Female,72,1.94,19.15,20.62433357841366,57.21398035667944
338,29,Female,53,1.52,23.33,20.968700698865543,42.59787032331148
339,21,Female,111,1.69,39.04,35.0,72.48150000000001
340,38,Female,46,1.79,14.65,19.89239324878455,37.61052136969565
341,48,Male,81,1.95,21.47,24.77229613729648,61.41589743351116
342,42,Male,43,1.66,15.94,15.559338879098403,37.08633836429998
343,37,Female,74,1.82,22.56,26.74186886323672,54.753127211616864
344,22,Male,61,1.62,23.3,25.21101782681584,45.74094149711943
345,36,Female,99,1.99,25.12,26.798981378306955,72.82037332486024
346,31,Female,63,1.8,19.67,25.26650832324966,47.63512759476067
347,41,Male,63,1.98,16.12,18.76114747343214,51.326707026285575
348,35,Male,50,1.6,19.77,25.41518302601202,37.74737587053532
349,51,Female,57,1.77,18.33,21.05278738942768,45.33148948099063
350,31,Male,66,1.67,23.7,26.37288104631428,48.66752562838626
351,56,Female,67,1.58,27.11,32.22165415789912,45.86560663134967
352,57,Male,58,1.66,21.2,27.79278898666688,42.17623195288787
353,39,Male,71,1.88,20.31,26.90490953675808,52.47496544356138
354,18,Female,65,1.55,27.45,30.30231348396562,45.95865448867307
355,52,Female,66,1.6,26.0,29.98052945014564,46.60495959798306
356,47,Male,81,1.77,25.9,29.028267148767565,57.59356120877513
357,43,Female,110,1.76,35.64,35.0,71.76
358,53,Female,79,1.9,22.0,23.5220251025906,60.746455461012296
359,45,Female,118,1.95,31.08,29.264578331571403,83.60219486991575
360,36,Female,111,1.63,41.96,35.0,72.462
361,43,Female,61,1.55,25.4,25.267290886081653,45.60937237222437
362,33,Female,64,1.62,24.5,27.72527490537025,46.46542076333748
363,28,Male,56,1.77,17.96,19.64194058742444,45.22551583739753
364,34,Female,65,1.68,23.36,25.907211122270045,48.85678498597513
365,45,Female,65,1.57,26.72,28.924967664852264,46.81712379916182
366,56,Female,84,1.63,31.91,32.66114743300305,57.0831453210433
367,51,Male,79,1.59,31.39,30.20162599567476,55.38500977243208
368,32,Female,113,1.99,28.65,29.732213370178787,79.71880393153216
369,19,Female,82,1.8,25.55,28.95337443641376,58.80529197898033
370,37,Female,71,1.77,22.87,21.913707373580007,55.956637296092566
371,54,Female,47,1.6,18.45,23.055633835039192,36.33312970309449
372,56,Female,51,1.63,19.38,19.98795662373573,41.206202338776095
373,31,Male,58,1.66,21.32,24.789842853027405,44.19348833956109
374,19,Female,111,1.94,29.51,33.34316779313202,74.04240921538894
375,59,Male,77,1.92,21.12,22.30242365261374,60.49533294407494
376,43,Male,61,1.58,24.5,27.03009588611152,44.6283933560542
377,41,Male,66,1.74,22.12,26.18501650239116,49.43389444834864
378,53,Male,78,1.66,28.45,27.15459224935904,57.11079967650252
379,43,Female,95,1.85,27.92,28.865925590457564,67.96149469087685
380,37,Female,88,1.79,27.72,30.845811125251952,61.41583513966374
381,52,Male,70,1.72,23.91,28.88584606312242,50.29904107955352
382,34,Female,111,1.85,32.72,33.237136661127806,74.76773065320296
383,18,Female,82,1.96,21.6,21.60809512796825,65.04960266281195
384,34,Female,54,1.52,23.5,22.159785365137225,42.259452525266994
385,21,Male,80,1.9,22.41,24.03892089663507,61.46010910253257
386,46,Male,47,1.72,16.14,20.43803819308185,37.9987929589841
387,54,Male,116,2.0,29.17,31.15352533907522,80.33695128183311
388,31,Female,63,1.8,19.64,24.43663674938561,48.088524372691
389,42,Female,73,1.63,27.73,26.0987954646584,54.45040750163969
390,21,Male,62,1.81,19.12,20.8718906897328,49.565847671951374
391,38,Female,49,1.51,21.85,26.408487230280063,36.6559325105975
392,49,Male,105,1.64,39.31,35.0,68.7245
393,32,Male,65,1.62,24.83,25.778764015083627,48.36997949137
394,32,Male,74,1.76,23.91,22.55184526486824,57.35035858136506
395,55,Female,76,1.73,25.52,26.847781999766955,55.88097933037802
396,19,Female,60,1.59,23.96,29.41369458948608,42.76118381768933
397,45,Male,65,1.57,26.46,25.08330536388716,48.85317657220918
398,37,Male,66,1.75,21.68,25.2334715140862,49.64497491464677
399,19,Female,72,1.73,24.29,27.003930977753843,53.07544178607517
400,49,Male,46,1.72,15.71,17.589902610388982,38.29597225695224
401,27,Female,61,1.6,24.2,27.643474608637177,44.81763182741013
402,49,Female,56,1.59,22.45,28.207942702577725,40.74199251628714
403,37,Male,69,1.5,30.82,33.1624696853348,46.35182727322031
404,47,Female,45,1.93,12.15,17.910655500019388,37.13721945179123
405,31,Female,49,1.62,19.05,24.49578484327461,37.74455715684702
406,35,Male,55,1.56,22.8,28.255143249295102,39.80404652529108
407,27,Male,80,1.61,31.21,30.858090829603587,55.92889032793367
408,31,Male,49,1.51,21.55,21.33380168994869,38.648703229728206
409,43,Female,86,1.97,22.17,23.82191439190972,65.55124266576169
410,41,Female,66,1.74,21.92,25.689885921570426,49.31962271385372
411,22,Male,86,1.9,23.85,26.38449102735589,63.39031477634384
412,49,Female,70,1.68,24.97,27.93985108855735,50.78799295278478
413,37,Female,54,1.57,22.1,25.73182073107375,40.46130406571102
414,28,Male,113,1.87,32.59,33.11044711681707,76.23402342096358
415,52,Male,79,1.59,31.43,32.09345625610015,53.951749004528445
416,53,Male,115,1.92,31.31,31.98391955719896,78.51096165512524
417,30,Male,69,1.98,17.73,19.9751219263836,55.60928777335603
418,30,Male,48,1.65,17.87,20.75745224529173,38.55149948266557
419,19,Female,76,1.62,29.24,33.204171288408205,51.265798536146704
420,34,Male,52,1.78,16.51,19.262749390953864,42.23365579359204
421,24,Female,82,1.95,21.66,21.08915190770212,64.99097448881653
422,38,Male,72,1.77,23.0,24.926948625977936,54.0901335149829
423,27,Male,57,2.0,14.44,19.407020172114017,46.53438655262136
424,25,Female,61,1.61,23.86,23.73435539737774,47.17792775118213
425,19,Female,46,1.63,17.67,20.798374977502803,37.19308311056468
426,50,Female,69,1.68,24.69,29.24350857741002,49.3031232232607
427,38,Male,83,1.74,27.64,29.17175666021163,59.26907402673491
